	cdc15_10	cdc15_30	cdc15_50	cdc15_70	cdc15_80	cdc15_90	cdc15_100	cdc15_110	cdc15_120	cdc15_130	cdc15_140	cdc15_150	cdc15_160	cdc15_170	cdc15_180	cdc15_190	cdc15_200	cdc15_210	cdc15_220	cdc15_230	cdc15_240	cdc15_250	cdc15_270	cdc15_290
YBL022C		-0.54	-0.09	-0.16	-0.34	-0.16	-0.49	-0.05	-0.54	0.02	-0.42	-0.14	-0.44	0.19	-0.22	0.13	0.13	-0.22	0.34	1.21	0.02	0.65	0.7	0.43
YBL023C	0.09	0.22	-0.5	-0.97	-0.47	-0.64	0.79	0.13	1	-0.05	0.33	-0.41	0.04	-0.5	0.22		0.13	-0.31	0.23	1.01	0.73	-0.27	-0.04	-0.79
YBL024W																								
YBL025W	-0.1	-0.22	-0.34	-0.09	0.56	-0.79	0.68	-0.53	0.42	-0.74	-0.2	-0.48	0.29	-0.65	1.25		0.83	-0.45	0.6	0.42	0.98	-0.63	-0.45	-0.36
YBL026W				-0.19	0.62	-0.22	0.67	-0.31	0.22	-1.78	-0.03	-0.42	0.16	-0.01	0.24		0.33	-0.04	0.17	0.69	0.17	-0.28		
YBL027W	0.03	0.4	0.56	0.14	-0.45	0.31	-0.23	0.29	-0.92	0.41	-0.34	0.19	-0.6	0.57	-0.99	-0.02	-0.5	0.29	-0.52	0.29	0.16	0.26	0.21	0.43
YBL028C		0.85	0.51	-0.09	0.1	0.13	0.54	0.05	-0.51	0.17		0.19	-0.55	-0.29	-0.26	0.29	-0.24	0.1	-0.91	0.59	-0.89	0.02	-0.15	0.36
YBL029W	0.25	0.09	0.08	0.03	-0.28	-0.56	1.44	-0.1	-0.69	-0.62	-0.28	0.28	-0.45	0.98	-0.43	-0.07	-0.12	0.14	-0.12	0.41	0.43	-0.27	-0.15	0.02
YBL030C		-1.87	-1.33	-0.38	0.47	0.18	1.08	0.27	1.03	0.15	-0.58	0.11	0.58	-0.25	0.04	-0.16	0.2	0	0.46	0.31	0.28	-0.1	-0.3	-0.19
YBL031W	-0.7	0.14	0.59	-0.05	-0.09	-0.84	0.36	-0.34	2.14	-0.44	-0.03	0.34	0.14	0.01	0.05	0.03	0.09	-0.61	0.28	-0.22	0.34	-0.58	-0.5	-0.15
YBL032W		-1.01				-2.26														3.26				
YBL033C	0.25	0.54	0.09	-0.13	-0.62	-0.2	-0.01	0.01	-0.41	-0.01	-0.52	0.07	-0.28	0.13	-0.64	0.13	-0.22	0.23	-0.3	0.01	0.22	0.5	0.38	0.8
YBL034C		0.15	0.27	-0.01	0.56	-0.4	0.25	-0.42	0.06	-0.15	0.69	-0.25	0.4	-0.08	0.36	-0.67	0.37	-0.67	0.6	0.29	0.75	-0.69	-0.64	-0.78
YBL035C		1.7	1.5	-1.44	-0.62	-2.06		-1.62	-0.2		1.22	1.48	0.87	1.44	0.09	-1.62	-0.13	-2.35	0.03	-0.13	0.65	0.45	0.5	0.23
YBL036C	-1.93									1.53											1.15			-0.75
YBL037W	0.3	1.06	0.91	-2.62	0.96	-2.43	0.98	-2.26	0.89	-3.84	0.74		0.98	1.54	1.06		0.68	-2.84	1	0.74	1.31	0.03	0.45	0.35
YBL038W		-0.09	-0.21	-0.13	-0.25	0.13	-0.26	0.1	-0.58	-1.6	0.05	0.51	-0.29	0.24	0	0.34	-0.42	0.34	-0.41	0.66	-0.54	0.94	0.53	0.92
YBL039C	0.67	0.95	0.08	0.02	0.36	-0.24	0.66	-0.19	0.51	-0.02	0.19	-0.28	-0.24	-0.44	0.3		-0.22	-0.21	0.13	0.34	-0.12	-0.62	-0.85	-0.79
YBL040C				-0.31	0.53	-0.5	0.19	-0.56	0.33	-0.37	0.4	-0.03	0.64	-0.18	-0.08		-0.15	-0.31	0.2	0.05	0.42	-0.26		
YBL041W	-0.29	-0.41	-0.19	-0.08	-0.17	-0.48	-0.16	-0.36	0.07	-0.08	-0.2	-0.05	-0.36	-0.09	0.21		-0.13	0.19	-0.31	1.16	0.23	0.51	0.35	0.63
YBL042C																								
YBL043W																								
YBL044W																								
YBL045C	0		-0.13						-0.06		0		-0.02							0.22				
YBL046W					-0.14	0.14																		
YBL047C	-0.24	-0.55	-0.55	-0.07	0.3	0.04	0.13	-0.04	0.08	-0.02	-0.01	0.19	0.48	0.14	0.22	-0.12	-0.08	-0.35	0.52	-0.13	0.53	-0.18	-0.17	-0.13
YBL048W																								
YBL049W	0.43	0.33	-0.29	-0.72	0.64	-0.72	0.56	-0.94	0.46	-0.6	0.25	-0.11	-0.22		0.8		0.52	-0.53	0.73	0.76	1.23	-0.97	-0.6	-1
YBL050W																								
YBL051C	0.78	1.11	1.12	-0.68	0.46	-2.46	0.66	-2.17	0.41	-4.05	0.8	0.78	0.92	0.85	0.46	-1.72	0.01	-2.46	0.69	0.97	0.73	1.08	0.8	0.91
YBL052C	-0.38	-0.71	0.14	0.33	0.01	0.09	1.7	-0.09	-0.3	-0.4	-0.38	-0.59	-0.01	0.1	0.26	0.01	0.17	-0.28	0.22	0.7	-0.03	-0.26	-0.15	-0.17
YBL053W	-0.18	0.07	0.56	0.4	-0.13	0.23	0.46	0.1	-0.3	-0.6	-0.05	-0.21	0.23	0.31	-0.39	0.54	-0.79	-0.21	0	0.18	-0.33	-0.15	0	0.25
YBL054W		-0.09	0.84	0.17	-0.08	0.4	0.29	0.44	0.06	-0.34	-0.04	0.37	-0.32	-0.12	-0.07	0.38	-0.02	0.18	0.01	-0.09	-0.37	-0.05	-1.09	-0.45
YBL055C	0.53	0.57	0.44	0.04	-0.4	0.11	0.75	-0.86		-0.09		0.37	0.43	-0.01	-0.28	0.15	-0.22	-0.44	-0.01	-0.6	-0.42	-0.04	0	-0.03
YBL056W																								
YBL057C																								
YBL058W		-0.21	-0.23	-0.15	-0.5	0.02	-0.28	0.08	-0.5	0	-0.41	0.17	-0.5	0.04	-0.23	0.13	-0.7	0.19	-0.01	0.89	0.17	0.88	0.46	0.66
YBL059W	-0.36	0.02	0.12										0.37						0.78	0.39		-0.84	-0.29	-0.18
YBL060W	-0.2	0.14	0.11	-0.2	-0.13	-0.18	0.37	0.05	0.06	-0.18	-0.33	0.41	-0.13	-0.03	-0.22	-0.13	-0.05	-0.29	0.29	0.56	-0.01	0.22	-0.29	0.18
YBL061C	0.75	0.91	0.93	-0.44	-0.4	-0.4	0.07	-0.19	0.22	0.25	0.43	0.41	0.07	-0.69	-0.19	-0.24	-0.91	-0.98	-0.11	0.09	0.04	0.38	0	-0.02
YBL062W		0.52	0.54	-0.21	-0.29	0.08	0.12	0.11	-0.13	0.52	-0.1	0.35	-0.19	-0.19	-0.92	-0.06	-0.36	-0.1	-0.31	0.39	-0.36	0.31	0.1	0.17
YBL063W	-0.09	0.07	0.49	0.48	0.64	0.23	0.12	-0.36	-0.28	-0.09	-0.42	0.23	-0.4	0.42	-0.13	0.35	0.06	-0.04	-0.14	-0.54	-0.2	-0.3	-0.06	-0.06
YBL064C				-1.03	-1.49	-0.77	-0.04	-0.25	0.02	0.15	0.04	0.1	0.04	0.22	-0.12		0.12	0.05	0.27	1.13	0.97	0.59		
YBL065W		-0.16	-0.15	-1.22	0.59	-0.88	0.83	-0.85	0.71	-0.69	0.29		0.72		0.89		0.61	-0.59	0.15	0.49	1.43	-1.15	-0.24	-0.77
YBL066C	-0.1	0.1	0.03	0.43	0.15	0.47	0.32	0.36	-0.04	0.39	-0.1	0.12	-0.24	0.17	-0.14	0.05	-0.24	0.2	-0.8	-0.57	-0.44	-0.06	0.01	-0.06
YBL067C	-0.13	0.25	-0.24	-0.42	0.33	-0.37	0.5	-0.3	0.61	-0.3	0.42	-0.49	0.07	-0.57	0.28		0.32	-0.28	0.44	0.8	0.58	-0.49	-0.35	-0.65
YBL068W				-0.23	0.41	-0.1	0.39	-0.06	0.39	-0.23	-0.02	-0.19	0.24	-0.34	0.19		0.13	-0.16	0.12	0.16	-0.29	-0.42		
YBL069W																								
YBL070C				-0.12		-0.25		-0.14		-0.3		-0.14	1.06	0.29				0				-0.39		
YBL071C																								
YBL072C																								
YBL073W							1.18		1.12	0.06														-2.35
YBL074C							0.52															-0.52		
YBL075C	-0.08	-0.56	-0.95	-0.22	-1.15	0.08	-0.66	-0.15	-0.61	-0.08	-0.83	0.08	-0.61	-0.61	-0.3	0.57	0.08	0.31	0.96	0.46	1.07	0.91	1.04	1.23
YBL076C		-0.18	0.01	0.02	0.28	0.09	0.14	0.26	0.19	0.04	-0.05	0.19	0.01	-0.12	-0.83	-0.07	0.01	-0.22	0.42	0.43	0.06	-0.07	-0.33	-0.26
YBL077W	-0.29	-0.01	0.09	0.02	0.01	0.19	0.38	0.14	0.14	0.11	0.19	0.01	0.49	0.02	-0.38	-0.01	-0.24	0.04	-0.24	-0.26	0.02	-0.05	-0.1	-0.24
YBL078C		-0.25	-0.4	-0.8	0.06	-0.36	0.12	-0.35	-0.35	-0.08	-0.41	-0.08	-0.04	-0.65	0.31	-0.33	-0.02	-0.15	0.1	0.64	0.52	0.69	0.62	1.22
YBL079W	0.3	0.06	-0.18	0.28	0.18	0.25	-0.16	0.21	0.09	0.15	-0.22	-0.11	-0.22	-0.11	-0.11	0.09	0.21	0.04	0.43	-0.53	0.16	-0.01	-0.49	-0.32
YBL080C																								
YBL081W																								
YBL082C		-0.57	-0.38	0.28	0.67	0.43	0.5	0.28	0.65	-0.15	-0.22	-0.12	0.17	-0.25	0.01	0.05	0.52	0.11	0.51	-0.4	0.01	-0.76	-0.64	-0.69
YBL083C																								
YBL084C	0.24	0.2	-0.57	-0.44	0.03	-0.12	0.5	-0.02	-0.01	0.03	-0.07	0.62	0.1	0.33	0.24	-0.24	-0.05	-0.07	0.21	-0.22	0.29	-0.44	-0.24	-0.28
YBL085W	-0.8	-0.18	0.18	0.09	0.02	0.08	0	-0.17	-0.39	-0.18	-0.62	0.06	0.24	0.71	0.44	0.12		-0.02	0.03	0.31	0.5	-0.24	0.08	-0.26
YBL086C		0.46	0.28	0.05	-0.02	0.07	0.02	0.23	-0.26	0.35	-0.12	0.31	-0.17	-0.65	-0.26	-0.09	0.07	-0.62	0.27	0.4		0.04	-0.29	-0.07
YBL087C	-0.72	-0.46	-0.11	-0.09	0.19	-0.04	0.59	-0.04	0.83	-0.1	0.37	-0.02	0.23	-0.18	0.12		0.18	-0.04	0.04	0.42	0.27	-0.48	-0.55	-0.42
YBL088C	0.09	-0.08	-0.55	-0.14	0.25	0.23	-0.01	-0.06	-0.34	-0.01	-0.21	0.9	-0.47	-0.34	0.58	-0.45	0.15	0.05	0.57	0.02	0.9	-0.23	-0.42	-0.38
YBL089W	-0.51	-0.53	-0.11	-0.08	0.21	-0.39	0.29	-0.3	0.65	-0.47	0.51	-0.31	0.49	-0.37	0.77		0.61	-0.53	0.59	0.19	1	-0.57	-0.43	-0.71
YBL090W				-0.69	-0.14	-0.64	0.16	0.09	-0.09	0.3	-0.14	0.03	0.62	-1.02	-0.05		-0.22	0.07	0.12	0.73	-0.15	1.02		
YBL091C	-0.24	-0.36	0.02	-0.1	-0.07	-0.08	-0.28	-0.16	0.07	-0.03	-0.22	-0.16	-0.24	-0.07	-0.03		-0.08	0.21	-0.3	0.86	0.14	0.35	0.23	0.52
YBL092W				-0.15	0.37	-0.2	0.43	-0.19	0.23	-0.08	0.05	-0.17	0.04	-0.23	-0.05		-0.2	-0.11	0.18	0.4	-0.14	-0.18		
YBL093C	0.19	0.2	-0.04	-0.45	0.33	-0.8	0.09	-0.5	-0.08	-0.08	0.09	-0.17	0.26	-0.3	0.49		0.31	-0.6	0.4	0.67	1.02	-0.32	-0.37	-0.35
YBL094C				-0.39	0.29	-0.44	0.25	-0.34	0.2	-0.26	-0.21	-0.44	0.06	-0.31	0.49		0.4	-0.31	0.64	0.14	0.46	-0.23		
YBL095W	-0.7	-0.61	-0.16	-0.1	0.36	-0.13	0	-0.1	0.41	-0.28	0.04	-0.38	0.2	-0.32	0.68		0.46	-0.68	0.3	0.61	0.68	-0.05	-0.13	-0.11
YBL096C				-0.27	0.43	-0.56	0.37	-0.39	0.26	-0.43	0.12	-0.39	0.13	-0.18	0.14		0.23	-0.13	0.58	-0.05	0.39	-0.25		
YBL097W	-0.53	-0.25	-0.05	0.6	0.27	0.1	0.75	-0.03	-0.17	-0.56	0.01	0.27	0.1	0.56	0.83	-0.47	0.45	-0.05	-0.1	-0.47	0.39	-0.93	-0.01	-0.7
YBL098W				-0.24	0.49	-0.01	0.62	-0.08	0.37	-0.33	-0.19	-0.63	-0.35	-0.44	-0.18		0.2	0.1	0.58	0.18	0.35	-0.42		
YBL099W	-0.92	-1.11	-0.55	0.21	-0.01	0.55	-0.23	0.35	0.57	0.3	0.19	0.23	0.13	-0.06	-0.32	0.07	0.25	0.3	0.29	-0.45	-0.11	0.17	-0.01	0.14
YBL100C		-1.55	-0.91	-0.26	0.5	0.18	0.64	0.14	0.72	0.09	0.15	-0.05	0.28	-0.5	-0.1	-0.21	0.43	-0.02	0.65	0.29	0.19	-0.14	-0.31	-0.22
YBL101C	0.24	0.1	-0.1	-0.06	-0.24	0.05	-0.51	0.18	0.16	0.16	0.18	-0.06	0.13	-0.11	-0.36	-0.22	-0.22	0.21	-0.01	0.1	0.04	0.2	0	0.14
YBL101W-A		0.42	0.16	0.54	0.65	0.22	0.49	0.55	0.13	0.38	-0.04	-0.06	-0.19	-0.06	-0.52	-0.3	-0.06	-0.72	-0.13	0.33	-0.7	-0.15	-0.45	-0.48
YBL101W-B	1.11	0.87	0.6	0.81	-0.14	0.75	-0.82	0.77	-0.69	0.49	-0.3	0.09	-0.51	0.4	-0.93	0.14	-0.86	-0.23	-0.75	-0.32	-1.09	0.21	0.19	0.19
YBL102W		-0.59	-0.47	-0.22	0.19	-0.02	0.31	0.08	0.51	0	-0.03	-0.05	0.25	-0.2	-0.23	-0.39	0.37	-0.05	0.66	0.19	0.21	-0.25	-0.2	-0.09
YBL103C	0.03	0.48	0.32	0.01	-0.23	0.06	-0.23	0.08	-0.46	0.03	0.13	0.01	0.53	-0.02	-0.21	0.11	0.18	-0.3	-0.28	-0.34	-0.36	0.24	0.13	0.11
YBL104C		0.31	0.11	-0.28	0.14	-0.05	0.37	0.08	-0.01	0.16	-0.08	-0.12	-0.05	-0.14	0.25	-0.39	-0.1	-0.2	0.52	0.49		-0.06	-0.53	-0.41
YBL105C	0.24	0.32	0.02	0.17	-0.15	0.17	-0.5	0.38	-0.04	0.15	0.02	0.09	-0.22	0.04	-0.34	0.18	0.06	-0.15	0.07	-0.13	-0.13	0.07	0	-0.29
YBL106C		0.14	0.07	0.07	0.37	0.06	0.26	0.04	0.12	0.11	-0.1	0.09	-0.23	-0.12	-0.08	-0.23	-0.21	-0.15	0.11	0.11	0.24	-0.13	-0.25	-0.27
YBL107C	0.23	0.1	-0.28	-0.72		-0.43		-0.37		0.15		0.43	-0.01	-0.35		-0.12		-0.31		0.37		0.57	0.22	0.52
YBL108W		0.65	-0.07	-0.64	0.21	-0.77	0.68	-0.55	0.45	-0.49	0.14	-0.18	0	-0.52	1	-0.7	0.5	-0.4	0.86	0.3	0.65	-0.46	-0.32	-0.32
YBL109W	-0.18	-0.55	-0.29	-0.2	0.02	-0.5	-0.08	-0.12	0.68	0.33	0.29	-0.04	0.3	-0.15	0.14		0.22	-0.42	0.35	0.5	0.78	-0.16	-0.23	-0.68
YBL111C	0.12	0.5	-0.22	-0.59	-0.46	-0.68	-0.82	-0.27	0.41	0.99	1.14	0.54	0.43	-0.03	-0.26		-0.48	-0.65	-0.52	0.51	0.58	0.27	-0.11	-0.38
YBL112C				-0.59	-0.44	-0.74	-0.25	-0.36	0.56	0.91	1.19	0.45	0.54	-0.09	-0.32		-0.46	-0.62	0.31	-0.19	0.4	-0.3		
YBL113C	0.11	0.32	-0.16	-0.67	-0.52	-0.77	-0.75	-0.25	0.27	1.02	1.11	0.55	0.37	0.02	-0.14		-0.5	-0.61	-0.52	0.53	0.51	0.3	0.03	-0.27
YBR001C								-0.17						0.17										
YBR002C	0.7	0.4	-0.12	-0.04	-0.01	-0.34	-0.04	-0.14	0.31	0.03	0.09	-0.25	-0.34	-0.36	-0.14		-0.21	0.12	-0.36	0.85	0.08	0.03	-0.21	-0.06
YBR003W					0.33									-0.33										
YBR004C	-0.07	-0.23	-0.43	-0.34	0.47	-0.49	0.4	-0.64	0.86	-0.11	0.74	-0.22	0.47	-0.64	0.55		0.5	-0.36	0.57	0.12	0.73	-0.52	-0.75	-0.6
YBR005W				-0.08	0.32	-0.47	0.31	-0.36	0.35	-0.2	0.19	-0.11	-0.21	-0.29	0.13		0.09	-0.12	0.7	-0.2	0.29	-0.35		
YBR006W	0.04	-0.16	-0.37	-0.67	0.1	-0.83	0.09	-1.73	0.16	-0.51	0.46	0.01	0.35	-0.3	0.77		0.46	-0.58	0.33	0.65	1.13	0.25	0.08	0.26
YBR007C				0.04	-0.61	-0.38	-0.27	-0.4	-0.06	0.05	0.41	0.17	0.2	0.4	0.41		0.17	-0.2	0.26	0.12	-0.24	-0.05		
YBR008C	-0.47	-0.27	0.43	0.5	0.5	0.18	-0.24	-0.5	-0.45	-0.45	-0.2	0.23	0.41	0.4	0.51	0.5	0.63	0.03	0.07	-0.59	-0.45	-0.37	-0.34	-0.07
YBR009C		-1.14	1.4	1.2	0.61	-0.41	-1.12	-1.63	-1.7	-1.12	-0.44	1.08	0.79	1.7	0.91	0.98	-0.35	-0.08	-0.88	-0.61		-0.28	0.17	0.9
YBR010W	-0.85	-0.88	1.74	1.49	0.49	-0.08	-1.54	-1.01	-2.13	-0.88	-0.54	1.05	0.89	1.75	1.04	1.06	0.22	0.16		-0.78	-1.71	-0.2	0.1	0.62
YBR011C		-0.18	0.03	0.15	-0.06	0.33	-0.14	0.21	-0.32	0.18	-0.55	0.21	-0.33	0.09	-0.38	0.34	-0.33	0.18	-0.19	0.04	-0.43	0.46	0.29	0.39
YBR012C	-0.52	0.08	0.05	-0.4	0.69	-0.29		-0.75	0.37	-0.29	0.52		0.79	0.25	0.79	-0.52	0.71	-0.52		0.67	0.9	-0.79	-1.01	-0.7
YBR012W-A						0.12		-0.12																
YBR012W-B	0.08	0.11	-0.19	0.14		0.09		0.24		0.22		-0.12	0.29	-0.14		-0.06		-0.2		0.08		-0.17	-0.19	-0.16
YBR013C																								
YBR014C	0.54	0.3	0.35	0.31	-0.14	0.19	-0.28	0.21	-0.72	0.19	-0.64	-0.2	-0.37	0.13	-0.11	0.32	-0.16	0.12	-0.69	0.1	-0.58	0.21	0.24	0.68
YBR015C																								
YBR016W	0.18	0.28	0.39	0.07	-0.3	0.09	-0.93	-0.15	-1.17	0.36	-0.35	0.36	-0.12	0.33	0.07	-0.3	-0.04	0.3	-0.75	-0.23	-0.35	0.67	0.71	0.9
YBR017C		0.21	-0.19	-0.17	0.24	-0.05	0.06	-0.03	0.95	0.06	-0.03	0.03	-0.17	-0.11	-0.14	-0.02	0.43	-0.22	0.35	0.32	-0.19	-0.31	-0.62	-0.42
YBR018C	-0.3	-0.04	-0.08	-0.63	0.57	-1.15	0.31	-0.81	0.43	-0.84	0.78		0.84		1.01		0.28	-0.84	0.75	0.83	0.89	-0.78	-0.41	-0.81
YBR019C				-0.62	0.38	-0.83	0.36	-0.54	0.59	-0.58	0.27	-0.52	0.22	-0.35	0.79		0.78	-0.32	0.94	-0.11	0.66	-1.11		
YBR020W	-0.05	0.04	-0.08	-0.21	0.64	-0.43	0.27	-1.13	0.58	-0.23	0.5	-0.51	0.22	-0.54	0.51		0.33	-0.23	0.59	0.62	0.62	-0.58	-0.41	-0.49
YBR021W																								
YBR022W									-0.42		0.42													
YBR023C																								
YBR024W																								
YBR025C																								
YBR026C					-0.14		0.38		-0.12		-0.59		-0.36		0.2		-0.21		0.28	0.29	0.28			
YBR027C																								
YBR028C					0.19		-0.64		-0.58		-0.35		0.01		0.49		0.25		-0.05	0.47	0.22			
YBR029C																								
YBR030W	0.62	0.83	0.6	0.1	-0.19	0.39	-0.46	0.26	-0.55	0.3	-0.26	-0.06	-0.19	-0.14	-0.21	0.36	0.08	0.18	-0.46	-0.26	-0.64	0.14	-0.1	-0.36
YBR031W		-0.88	-0.53	-0.21	0.66	0.07	0.57	0.15	0.86	-0.11	0.29	-0.12	0.44	-0.58	0.2	-0.34	0.37	-0.06	0.89	-0.19	0.34	-0.46	-0.6	-0.76
YBR032W	0.05	0.26	-0.03	0.22	0.23	0.22	-0.32	0.23	0.27	0.15	0.1	0.02	0.1	-0.53	0.36	0.27	0.85	0.02	0.19	-0.98	0.03	-0.38	-0.68	-0.71
YBR033W	0.29	0.22	-0.19	-0.42	0.27	-0.19	0.18	0.05	0.33	0.2	-0.23	-0.31	-0.09	-0.41	0.54	-0.03	0.21	-0.41	0.12	-0.16	0.77	0.02	-0.38	-0.38
YBR034C	-0.28												0.28											
YBR035C																								
YBR036C																								
YBR037C																								
YBR038W	-0.3	-1.93	-2.69	-0.43	0.57	0.67	1.71	1.42	1.83	0.23	-0.46	-1.1	-1.43	-0.93	-0.28	0.15	0.72	1	1.02	0.41	1.22	-0.01	-0.58	-0.77
YBR039W																								
YBR040W	-0.23	0.24	-0.01																					
YBR041W		-0.3	-0.04	0.03	0.38	0.13	0.09	-0.25	0.02	0.05	0.2	0.28	0.7	0.17	-1.08	0.02	0.65	-0.27	0.35	-0.78	0.15	-0.04	-0.2	-0.25
YBR042C	0.22	0.08	0.21	-0.06	0.44	-0.48	-0.62	-0.57	0.33	-0.07	0.08	0.23	-0.34	0.12	0.55		0.52	-0.32	0.08	0.55	0.12	-0.3	-0.36	-0.44
YBR043C				-0.08	0.25	-0.22	0.17	-0.26	0.07	-0.24	-0.02	-0.18	0.07	-0.15	0.12		0.46	-0.29	0.55	-0.32	0.27	-0.22		
YBR044C	-0.32	-0.6	-0.42	-0.11	-0.18	-0.27	-0.54	0.28	0	0.1	0.2	-0.21	0.15	-0.19	-0.33		0.07	0.15	0	1.05	0.26	0.72	0.04	0.14
YBR045C																								
YBR046C	-0.34	-0.57	-0.4	-0.77	0.68	-0.62	-0.6	-0.3	0.37	-0.4	0.61	-0.28	0.61	-0.34	0.41		0.46	-0.44	0.37	0.63	1.09	-0.16	0.02	-0.01
YBR047W																								
YBR048W	-0.63	-0.37	-0.05	0.03	0.63	0.19	0.36	0.08	0.33	0.06	0.01	0.02	-0.01	-0.16	0.13	-0.38	0.4	-0.1	0.14	0.11	0.08	-0.27	-0.42	-0.19
YBR049C																								
YBR050C																								
YBR051W																				1.14		-1.14		
YBR052C																								
YBR053C																								
YBR054W	0.31	-1.48	-3.16	-1.6	-0.2	0.1	0.98	1.36	2.14	1.02	0.76	-0.46	-0.73	-1.67	-1.39	-0.52	0.75	0.61	1.51	0.93	1.44	0.19	-0.14	-0.75
YBR055C		0.71	0.44	-0.29	-0.25	0.04	0.04	0.29	0.09	0.18	0.12	0.08	-0.25	-0.16	-0.96	-0.07	-0.02	-0.1	0.23	0.26	-0.19	-0.31	0.16	-0.05
YBR056W	-0.38	-1.32	-0.99	-0.57	-0.04	-1.01	0.37	-0.38	-0.02	0.07	0.17	-0.04	0.32	-0.05	-0.13	-0.49	-0.04	-0.32	0.22	1.14	0.8	0.86	0.95	0.85
YBR057C		0.1	0.19	-0.49	-0.3	0.1	-0.23	0.12	-0.51	0.23	0.01	0.07	-0.3	-0.07	-0.22	0.24	0.15	0.08	0	-0.13		0.43	0.28	0.22
YBR058C	0.61	0.46	0.23	0.05	-0.3	-0.23	0.26	0.08	-0.1	0.14	-0.12	-0.19	-0.21	0.22	-0.12	-0.42	-0.1	0.02	-0.12	-0.06	0.29	0.1	-0.26	-0.24
YBR059C																								
YBR060C	0.29	0.31	0.5	0.24	-0.3	0.31	-0.35	0.39	-0.5	0.24	-0.41	0.02	0.29	0.25	-0.73	0.36	-0.38	0.29	-0.53	0.04	-0.84	0.38	-0.07	0.2
YBR061C																								
YBR062C	0.4	0.53	0.01	-0.45		-0.13		-0.22		-0.04		-0.8		-0.54		-0.13		-0.2				0.45	0.41	0.69
YBR063C																								
YBR064W	0.62	0.68	0.29	-0.54	0.37	-0.27	0.02	-0.15	0.12	-0.11	0.02		0.12	-0.42	-0.02	-0.11	-0.29	-0.45	-0.08	0.62	0.04	-0.17	0.04	-0.32
YBR065C		0.54	0.17	-0.63	0.05	-0.25	0.45	-0.09	0.11	0.08	-0.06	-0.34	-0.19	-0.27	0.29	-0.06	0.69	-0.17	0.19	0.21	-0.04	-0.09	-0.21	-0.38
YBR066C	-0.08	0.22	-0.17	-0.34	0.28	-1.47	0.46	-0.63	0.62	-0.85	0.1	-0.09	-0.27		0.85	-0.68	0.29	-0.47	0.38	0.98	1.19	-0.41	-0.3	0.4
YBR067C		0.6		-1.38	-0.84	-1.76	-0.8	-1.04	0.13	-0.29	0.18	-0.67	0.24	-0.76	-1.09	-0.26	0.62	0.71	1.3	1.54	2.31	1.25		
YBR068C	-0.79	-0.65	0.05	-0.89	0.63	-0.65	0.69	-0.49	0.86	-0.55	0.26	-0.26	0.18	0.15	0.96	-0.16	0.39	-0.13	0.64	0.31	1.11	-0.73	-0.57	-0.37
YBR069C		-0.29		-0.21	0.54	-0.18	0.12	0.05	0.68	0.03	0.42	-0.31	0.01	-0.54	-0.48	0.08	0.21	-0.06	0.23	0.08	0.3	-0.69		
YBR070C	0.31	0.49	0.58	-0.25	0.3	-1.43	-0.22	-1.55	0.09	-0.04	0.47	0.59	0.82	-0.03	0.8	-0.43	-0.17	-0.91	0.2	0.17	1.03	-0.22	-0.17	-0.43
YBR071W				-0.7	-0.55	-1.8	-1.5	-1.53	0.29	1.69	2.08	1.33	0.87	0.32	0.14	-0.72	-1.28	-1.09	-0.45	0.86	1.19	0.87		
YBR072W	0.22	0.32	-0.11	-0.5	0.45	-1.8		-1.14	0.54	-0.75	0.36		0.26		0.71	-0.86	0.54	-0.43	0.49	0.72	0.99	-0.5	0.36	0.14
YBR073W				-0.04	0.05	-1.27	-0.72	-1.03	-0.25	0.42	1.01	0.66	0.65	0.59	0.06	0	-0.46	-0.75	-0.09	0.5	0.27	0.4		
YBR074W	-0.14	-0.17	-0.29	-0.37	0.4	-0.87	0.65	-0.28	0.94	-0.21	0.3	-0.33	0.45	-0.33	0.61	-0.06	0.06	-0.35	0.79	0.37	0.76	-0.53	-0.6	-0.79
YBR075W				-0.34	0.46	-0.56	0.45	-0.22	0.11	-0.06	0.47	-0.23	-0.32	-0.44	-0.09	-0.03	-0.07	-0.12	0.44	0.34	0.56	-0.36		
YBR076W	-0.2	0.03	0.03	-0.25	0.93	-1.46	0.81	-1.22	0.74	-0.6	0.4	0.08	0.54	-0.34	0.94	-0.2	0.46	-0.85	0.95	0.3	1.43	-1.28	-0.58	-0.67
YBR077C				-0.32	0.51	-0.75	-0.21	-0.43	0.19	-0.32	0.28	-0.27	0.34	0.01	0.33	-0.37	-0.21	-0.22	0.37	0.27	0.83	-0.03		
YBR078W	-0.9	-0.64	-0.38	0.36	0.76	0.53	0.5	-0.05	0.32	-0.35	-0.23	0.05	0.17	0.07	0.38	0.38	-0.07	0.32	0.6	-0.47	0.68	-0.64	-0.77	-0.61
YBR079C		0.66		0.4	0.13	0.37	0.03	0.45	-0.92	0.39	-0.74	0.19	-0.3	0.09	-0.58	0.33	-0.38	-0.03	-0.27	0.78	-0.43	0.19	-0.08	-0.27
YBR080C	0.14	0.45	0.37	0.3	-0.01	-0.01	0.11	0.11	-0.2	0.22	0.02	0.12	-0.61	0.7	-0.05	0.17	-0.3	-2.2	-0.37	0.04	0.47	0.16	0.19	0.17
